GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_04435	0.8008	0.7523	0.8420	0.7439	0.8259	0.9019	0.7171	0.7737	0.7378	0.8275	0.7860	0.8842	0.8558	0.8166	0.8190	0.8119	0.8009	0.8590	0.8282	0.8276	0.7929	0.8158	0.7992	0.6775	0.8776	0.7717	0.7747	0.8393	0.8105	0.8368	0.8572	0.7530	0.8578	0.8374	0.8993	0.9749	1.0081	0.8825	0.8045	0.8093	0.9034	0.8777	0.8576	0.8129	0.7710	0.7669	0.8313	0.8517	0.8731	0.8711	0.7999	0.8657
CLUG_04436	0.6314	0.7307	0.8045	0.7781	0.8271	0.8306	0.7733	0.7192	0.7192	0.7465	0.7735	0.7357	0.7157	0.7876	0.7426	0.6924	0.8112	0.7991	0.6944	0.8021	0.7447	0.7686	0.7027	0.6148	0.8186	0.7845	0.7895	0.7868	0.7106	0.8007	0.7930	0.7786	0.8677	0.8259	0.8104	0.8369	0.9850	0.8421	0.7514	0.7266	0.7983	0.8231	0.7797	0.7926	0.7647	0.8188	0.7882	0.7890	0.8543	0.7822	0.7687	0.7997
CLUG_04437	0.7920	0.8087	0.8073	0.8039	0.7769	0.8598	0.8269	0.8081	0.8282	0.8036	0.8694	0.8193	0.8329	0.8035	0.8283	0.8252	0.7872	0.8270	0.8080	0.8419	0.7830	0.8353	0.8354	0.7703	0.8237	0.7100	0.7652	0.8210	0.7342	0.8099	0.8744	0.7736	0.8509	0.8139	0.8121	0.8019	0.7900	0.7498	0.7408	0.7019	0.8437	0.8084	0.7993	0.7194	0.7945	0.7581	0.7362	0.7962	0.8216	0.7394	0.8218	0.8066
CLUG_04438	0.6254	0.6627	0.7018	0.5582	0.6645	0.6983	0.6612	0.5645	0.6744	0.7008	0.6935	0.6655	0.6335	0.5559	0.5914	0.5482	0.6857	0.5730	0.5896	0.6559	0.6264	0.5175	0.6085	0.6214	0.7358	0.6878	0.7797	0.7795	0.7163	0.7965	0.8336	0.7101	0.7541	0.7785	0.8331	0.8081	1.1467	0.7059	0.6866	0.7283	0.7685	0.7061	0.6767	0.7618	0.6977	0.7578	0.6805	0.7028	0.8364	0.7801	0.7726	0.8094
CLUG_04439	0.6472	0.6604	0.7604	0.5073	0.7022	0.7369	0.6368	0.5968	0.6928	0.7302	0.6915	0.6210	0.6403	0.5598	0.6076	0.5076	0.6508	0.5905	0.5781	0.6774	0.6294	0.5248	0.5865	0.5718	0.7482	0.7172	0.8326	0.8314	0.7578	0.8308	0.8396	0.7174	0.7667	0.8004	0.8672	0.8517	1.1793	0.8027	0.7618	0.8204	0.8338	0.7767	0.7258	0.8548	0.7847	0.8481	0.7614	0.7890	0.9225	0.8448	0.8201	0.9099
CLUG_04440	0.6559	0.6591	0.7699	0.4982	0.7052	0.7529	0.6279	0.6128	0.7052	0.7477	0.6938	0.6184	0.6487	0.5695	0.6178	0.5153	0.6600	0.6023	0.5805	0.6806	0.6330	0.5233	0.5857	0.5528	0.7557	0.7241	0.8360	0.8397	0.7609	0.8385	0.8445	0.7184	0.7655	0.7990	0.8771	0.8633	1.1802	0.8266	0.7749	0.8365	0.8482	0.7973	0.7424	0.8685	0.7994	0.8625	0.7780	0.8048	0.9403	0.8521	0.8297	0.9239
CLUG_04441	0.8502	0.8320	0.8608	0.7862	0.8308	0.8219	0.8046	0.7934	0.7901	0.7940	0.8366	0.8432	0.8410	0.8058	0.7922	0.7923	0.7828	0.8271	0.8185	0.8620	0.8000	0.7802	0.7871	0.7285	0.8682	0.7661	0.8575	0.8304	0.7795	0.8304	0.9078	0.8356	0.8786	0.8589	0.8471	0.8598	0.8985	0.8164	0.7753	0.7328	0.8837	0.8046	0.8372	0.8059	0.8120	0.7892	0.7874	0.8059	0.8642	0.8352	0.8488	0.8483
CLUG_04442	0.8017	0.7555	0.8235	0.7755	0.7533	0.8678	0.7934	0.8491	0.7718	0.7852	0.8443	0.8372	0.8031	0.8227	0.7864	0.7267	0.8652	0.8526	0.7783	0.8309	0.7438	0.7618	0.7423	0.7504	0.8188	0.7397	0.8314	0.8309	0.7599	0.8033	0.8575	0.8361	0.8761	0.8188	0.8067	0.8592	0.8170	0.7667	0.7341	0.7253	0.8288	0.8005	0.7876	0.7670	0.7353	0.7380	0.7563	0.7707	0.7907	0.8462	0.7894	0.8403
CLUG_04443	0.7441	0.7112	0.8503	0.7168	0.7921	0.8844	0.8126	0.8031	0.8366	0.7744	0.8403	0.8589	0.7853	0.8597	0.8242	0.7704	0.8239	0.8027	0.7877	0.8038	0.8135	0.6832	0.6586	0.6895	0.8576	0.8186	0.8576	0.8456	0.7615	0.8255	0.8377	0.8325	0.8545	0.8275	0.7980	0.8157	0.8125	0.7625	0.7748	0.7355	0.8563	0.8191	0.8327	0.7653	0.8164	0.7673	0.7983	0.7552	0.8492	0.7780	0.8081	0.8935
CLUG_04444	0.8671	0.9108	0.8049	0.9063	0.9760	1.0353	0.9480	0.8395	0.9035	0.7817	0.9822	0.9156	0.8882	0.8556	0.8078	0.7682	0.9524	0.9710	0.9010	0.9030	0.8872	0.9431	0.9470	0.8223	0.9863	0.9017	0.8921	0.8472	0.8203	0.9008	1.0215	0.9067	0.9571	0.9405	0.8409	0.9058	1.0239	0.8636	0.8633	0.7929	0.8834	0.8948	0.8480	0.8386	0.8245	0.8455	0.7566	0.8121	1.0007	0.9191	0.9003	0.8884
CLUG_04445	0.9441	0.8568	0.9267	0.8474	0.9196	0.9353	0.9526	0.8776	0.9471	0.8906	0.9073	0.8657	0.8921	0.8831	0.9055	0.9225	0.7970	0.9249	0.9432	0.9198	0.8503	0.8785	0.8722	0.7831	0.9124	0.8150	0.8953	0.8820	0.8164	0.8516	0.9006	0.8950	0.9452	0.8818	0.8781	0.8910	0.8178	0.7791	0.7703	0.7777	0.8739	0.8469	0.8553	0.8209	0.8241	0.7957	0.8088	0.8047	0.8709	0.8450	0.8752	0.8952
CLUG_04446	0.8315	0.7869	0.8021	0.7780	0.8099	0.8659	0.8404	0.8379	0.7704	0.8221	0.8529	0.8462	0.7392	0.7822	0.7856	0.7432	0.8017	0.8198	0.7381	0.8450	0.8090	0.8279	0.7935	0.7186	0.8934	0.7719	0.8606	0.8369	0.8133	0.8317	0.9001	0.8291	0.9221	0.8364	0.8664	0.8236	0.9535	0.7862	0.7723	0.7677	0.8660	0.7925	0.8540	0.7767	0.7980	0.7968	0.7785	0.8402	0.8747	0.8330	0.8306	0.8382
CLUG_04447	0.8133	0.7430	0.9119	0.8070	0.8492	0.8598	0.8916	0.8543	0.7998	0.8108	0.9095	0.7660	0.7814	0.7878	0.7942	0.7928	0.7344	0.8197	0.7918	0.8811	0.8275	0.8125	0.7092	0.7612	0.8774	0.8196	0.9103	0.8774	0.8123	0.8673	0.9660	0.8401	0.8715	0.8981	0.8662	0.8771	1.1007	0.8098	0.7582	0.7922	0.8910	0.8569	0.8674	0.7782	0.8227	0.8096	0.8118	0.8110	0.8513	0.8686	0.8920	0.8499
CLUG_04448	0.9049	0.8629	0.8816	0.8052	0.9391	0.9240	0.9859	0.8836	0.8727	0.8913	0.8971	0.8895	0.8470	0.9061	0.8873	0.8670	0.8357	0.8731	0.8046	0.9209	0.8406	0.9107	0.8717	0.7932	0.8610	0.7864	0.8849	0.8730	0.8015	0.8817	0.9801	0.9143	0.9168	0.8580	0.9000	0.8665	0.9212	0.7863	0.7692	0.7692	0.9007	0.7880	0.8148	0.7957	0.7530	0.7538	0.7985	0.7795	0.8414	0.8820	0.8698	0.8352
CLUG_04449	0.8575	0.7276	0.8330	0.7958	0.8180	0.8789	0.8185	0.8092	0.7974	0.7999	0.8684	0.8988	0.8183	0.7910	0.7806	0.6956	0.8111	0.8394	0.7199	0.8382	0.7515	0.7756	0.7269	0.7317	0.9148	0.8052	0.8603	0.8130	0.8132	0.8311	0.8673	0.8565	0.8801	0.8701	0.8584	0.8654	0.9625	0.7994	0.7430	0.7884	0.9013	0.8615	0.8173	0.8619	0.7620	0.7729	0.7991	0.8221	0.8599	0.8410	0.8551	0.8336
CLUG_04450	0.9353	0.8999	0.9811	0.8390	0.8935	0.9488	0.9019	0.9822	0.9440	0.8071	0.8934	0.9576	0.8558	0.8317	0.9092	0.9136	0.7549	0.9027	0.8542	0.9010	0.7939	0.7716	0.7613	0.7957	0.9147	0.7952	0.8546	0.8183	0.8032	0.8670	0.8838	0.8599	0.8972	0.8831	0.7933	0.8645	0.8926	0.7624	0.6840	0.8250	0.8945	0.8216	0.8353	0.7831	0.7920	0.7650	0.8176	0.7557	0.8553	0.8251	0.8943	0.8317
CLUG_04451	0.9554	0.8367	0.8847	0.8314	0.8645	1.0411	1.0136	0.8318	0.8610	0.8150	0.8981	0.9342	0.8040	0.8520	0.8208	0.7734	0.9001	1.0552	0.8269	0.9351	0.8363	0.8665	0.8261	0.7218	0.9304	0.7987	0.8979	0.8113	0.7782	0.9095	0.9015	0.8918	0.9363	0.8858	0.7944	0.9022	1.0040	0.7799	0.7685	0.7877	0.9314	0.8613	0.8473	0.7648	0.7532	0.7942	0.8293	0.8631	0.8200	0.9156	0.9036	0.8620
CLUG_04452	0.9480	0.8649	0.8788	0.8409	0.8386	0.9031	0.8603	0.7110	0.8700	0.8740	0.9357	0.8956	0.8340	0.8351	0.8847	0.9040	0.8433	0.9356	0.8727	0.9369	0.8350	0.8792	0.8345	0.7491	0.9405	0.8585	0.9107	0.8642	0.8308	0.9295	0.9354	0.9157	0.9060	0.8918	0.8689	0.8092	0.8157	0.8221	0.8126	0.7908	0.9321	0.8605	0.8610	0.7955	0.8379	0.7903	0.7853	0.8058	0.8682	0.9144	0.8348	0.8285
CLUG_04453	1.0023	0.9371	0.9947	0.9265	0.9556	1.0039	1.0067	0.9550	0.9838	0.8804	1.0395	0.9657	0.9251	0.9548	0.9914	0.9761	0.8939	0.9226	0.9144	0.9880	0.9375	0.9609	0.9569	0.8805	1.0432	0.8608	0.9574	0.9090	0.8748	0.9365	0.9868	0.9566	1.0002	0.9128	0.9229	0.9256	0.9029	0.8523	0.8215	0.8148	0.9882	0.8922	0.9246	0.8265	0.8148	0.8618	0.8285	0.8577	0.9614	0.9227	0.8927	0.9106
CLUG_04454	0.8886	0.8271	0.8721	0.8069	0.9155	0.9478	0.9194	0.8604	0.8812	0.9292	0.9122	0.9309	0.8520	0.8790	0.8501	0.8445	0.7707	0.8963	0.8614	0.8989	0.8865	0.8630	0.8935	0.7447	0.9110	0.8466	0.9158	0.8475	0.8085	0.8679	1.0038	0.8770	0.9272	0.8236	0.9079	0.8967	0.9605	0.7803	0.7755	0.7610	0.9109	0.8608	0.8494	0.7915	0.8442	0.7756	0.7946	0.8216	0.8776	0.8466	0.8767	0.8285
CLUG_04455	0.9607	0.8726	0.9237	0.7840	0.8634	0.9495	0.9315	0.8393	0.8173	0.8552	0.9448	0.8446	0.8191	0.8451	0.8607	0.8145	0.9049	0.8022	0.8761	0.9310	0.7979	0.8398	0.8613	0.7871	0.9104	0.7758	0.8760	0.8502	0.7613	0.8701	0.9466	0.8776	0.9454	0.8349	0.8551	0.8251	0.7603	0.7533	0.7458	0.7734	0.8699	0.8394	0.7997	0.7579	0.8235	0.7822	0.7602	0.8173	0.8495	0.8240	0.8753	0.8599
CLUG_04456	0.9720	0.9268	0.8755	0.8642	0.9592	1.0212	0.9685	0.9917	0.9082	0.9124	0.9725	0.9485	0.9022	0.9815	0.9735	0.8316	0.8948	0.8632	0.9138	0.9530	0.9162	0.9118	0.8388	0.8861	0.9446	0.8467	0.9100	0.8697	0.8235	0.9051	0.9710	0.9196	0.9675	0.8889	0.8830	0.8970	0.8126	0.8129	0.8076	0.7947	0.9475	0.8735	0.8553	0.8060	0.8164	0.7976	0.8576	0.8240	0.8576	0.8748	0.9046	0.8547
CLUG_04457	1.0129	0.9875	0.9178	0.8792	0.9617	0.9387	0.8710	0.9219	0.9987	0.9222	0.9707	1.0635	0.9284	0.8559	0.8997	0.8368	0.7567	1.0261	0.8096	0.9639	0.8951	0.9114	0.9492	0.7741	0.9559	0.8912	0.9335	0.9221	0.7965	0.8340	0.9551	0.9233	0.8846	0.9249	0.8074	0.8395	0.6849	0.8716	0.7596	0.7033	0.9137	0.9059	0.8256	0.7700	0.7960	0.7992	0.7889	0.8114	0.8556	0.8672	0.8181	0.8745
CLUG_04458	0.9985	0.8589	0.9061	0.8922	1.0029	1.0035	0.9090	0.7985	0.9976	0.9308	1.0112	0.8693	0.8245	0.8338	0.9060	0.9413	1.0109	0.9970	0.8057	0.9514	0.8135	0.8911	0.7858	0.7114	0.9479	0.8865	0.9307	0.9230	0.8035	0.8725	1.0069	0.9316	0.8484	0.8619	0.8734	0.9064	0.8380	0.8592	0.6879	0.7809	0.9183	0.9010	0.8177	0.7770	0.8006	0.8409	0.7809	0.8015	0.9137	0.9953	0.9069	0.8441
CLUG_04459	0.8902	0.9191	0.8664	0.8383	0.9417	0.9076	0.9286	0.8047	0.8339	0.8626	0.9801	0.8988	0.8411	0.9094	0.9081	0.8554	0.8358	0.8999	0.8632	0.8920	0.8181	0.9373	0.8420	0.7592	0.9494	0.8716	0.9125	0.8532	0.8129	0.8447	0.9822	0.9071	0.9362	0.8278	0.8741	0.9214	0.8345	0.7719	0.7481	0.7893	0.8803	0.8605	0.8537	0.7536	0.7630	0.7783	0.7916	0.7890	0.8727	0.8836	0.8806	0.8448
CLUG_04460	0.9119	0.8628	0.9102	0.8534	0.9334	0.8833	0.8805	0.8729	0.8478	0.7868	0.9205	0.8471	0.8533	0.8394	0.8986	0.8395	0.8325	0.8246	0.7027	0.9086	0.8014	0.8279	0.8336	0.7021	0.9527	0.8030	0.8686	0.8141	0.7604	0.8253	0.9555	0.8483	0.9126	0.8508	0.8525	0.8610	0.8705	0.7612	0.6987	0.7333	0.8802	0.7779	0.7897	0.7996	0.7995	0.7991	0.7036	0.7719	0.8054	0.8665	0.8667	0.7975
CLUG_04461	0.9130	0.8030	0.7594	0.7677	0.8546	0.8941	0.8801	0.7892	0.7811	0.8215	0.8362	0.8663	0.8188	0.8301	0.7878	0.7378	0.8173	0.8260	0.8699	0.8753	0.7911	0.8509	0.7698	0.6728	0.9386	0.8278	0.8983	0.8608	0.8449	0.8760	0.9334	0.8803	0.9208	0.8557	0.8359	0.8742	0.9353	0.7863	0.7620	0.7845	0.8442	0.8006	0.8476	0.8158	0.7677	0.7927	0.7389	0.7912	0.8982	0.9068	0.8690	0.8007
CLUG_04462	0.8825	0.8667	0.8757	0.8587	0.9033	0.9461	0.9568	0.9227	0.9000	0.8617	0.9394	0.8589	0.8746	0.9223	0.9070	0.8442	0.9307	0.9615	0.9281	0.9877	0.9133	0.9039	0.9006	0.8405	0.9806	0.8470	0.8993	0.8913	0.8397	0.8960	0.9882	0.8995	0.9247	0.9182	0.9069	0.9361	0.9585	0.7626	0.7826	0.7758	0.9058	0.8623	0.9241	0.7987	0.7866	0.7731	0.8059	0.7785	0.8581	0.9099	0.9166	0.8994
CLUG_04463	0.8908	1.0754	0.9184	0.8768	0.8497	1.1144	0.7829	0.8814	0.9280	0.9124	0.9100	0.8437	0.7826	0.8860	0.8926	0.7506	0.8522	0.9248	0.9579	0.9483	0.8055	0.9359	0.9139	0.7822	0.9807	0.8514	0.9137	0.9109	0.8727	0.8443	0.9213	0.9611	1.0110	0.9336	0.8927	0.9127	0.9590	0.8096	0.7748	0.8218	0.9295	0.8798	0.8763	0.8085	0.8265	0.8563	0.7516	0.7678	0.8735	0.8504	0.8780	0.7908
CLUG_04464	0.8623	0.9090	0.8363	0.7140	0.9575	1.0014	0.8492	0.8213	0.7552	0.7351	0.8800	0.8724	0.6800	0.8124	0.7884	0.7812	0.7484	1.0262	0.8461	0.8977	0.8005	0.9249	0.8708	0.7254	0.9190	0.8534	0.9383	0.8499	0.7373	0.8869	0.9867	0.8286	0.9565	0.8347	0.7624	0.8612	0.8535	0.7086	0.8123	0.7460	0.9563	0.8607	0.8965	0.7542	0.7806	0.7473	0.7653	0.7471	0.8233	0.8992	0.8892	0.9066
CLUG_04465	1.0149	0.9028	0.9670	0.8972	0.9509	1.0530	0.9801	1.0159	0.9768	0.9049	1.0046	0.9862	0.9414	0.9715	0.9870	0.9345	0.9010	0.9719	0.9050	0.9978	0.9551	0.9607	0.9506	0.8540	1.0035	0.9032	0.9696	0.9147	0.8512	0.9369	0.9696	1.0285	0.9889	0.9376	0.9086	0.9435	0.9861	0.8306	0.8012	0.8270	0.9794	0.8937	0.8994	0.8237	0.8438	0.8263	0.8239	0.8479	0.9007	0.9501	0.9589	0.9091
CLUG_04466	1.0855	0.9665	0.9378	1.0212	1.0850	0.9651	1.0208	1.1462	1.0212	1.1145	1.1118	1.0053	0.8728	1.0545	0.9862	0.8686	0.8330	0.8617	0.9146	0.9790	0.9551	0.9637	1.0867	0.8867	0.9698	0.9102	0.9720	0.9137	0.8899	0.9482	1.0624	0.9894	0.9647	0.9584	0.9555	0.9473	1.0495	0.8178	0.8439	0.8220	0.9674	0.8928	0.8451	0.8420	0.8985	0.7849	0.8649	0.8639	0.8975	0.9408	0.9298	0.9069
CLUG_04467	1.0094	0.9008	0.9003	0.9129	0.9442	1.0267	1.0104	1.0069	0.9737	0.9760	1.0925	0.9573	0.9590	1.0276	0.9612	0.9417	0.9503	1.0127	0.9064	0.9728	0.9391	0.9560	0.9343	0.8594	0.9678	0.9543	0.9706	0.9278	0.8818	0.9295	1.0239	1.0233	1.0231	0.9390	0.9395	0.9807	0.9668	0.7859	0.7611	0.8380	0.9891	0.9507	0.9033	0.8788	0.8635	0.8225	0.8326	0.8268	0.9001	0.9872	0.9760	0.9218
CLUG_04468	0.7814	0.7255	0.7284	0.7862	0.6905	0.8160	0.8826	0.6940	0.7080	0.7229	0.7690	0.7856	0.7376	0.7480	0.6857	0.7257	0.8780	0.6944	0.6874	0.7678	0.7582	0.7509	0.7039	0.7044	0.7578	0.6694	0.7578	0.6780	0.5808	0.6975	0.7073	0.6937	0.7042	0.6949	0.7814	0.6934	0.7838	0.5823	0.5597	0.6208	0.7727	0.5993	0.6951	0.5954	0.6310	0.6399	0.5880	0.6231	0.6148	0.6488	0.6556	0.6742
CLUG_04469	0.9723	0.8537	0.8550	0.8413	0.8871	0.9272	0.9606	0.8508	0.8079	0.9070	0.9106	0.9052	0.8067	0.8761	0.9225	0.8025	0.7598	0.8144	0.9236	0.9333	0.8378	0.9497	0.8368	0.7130	0.9281	0.8766	0.9008	0.9207	0.8244	0.9081	0.9995	0.9278	0.9711	0.8781	0.8300	0.8397	1.0055	0.8472	0.7825	0.8397	0.9230	0.8417	0.8276	0.7749	0.8549	0.8302	0.8348	0.7902	0.8900	0.8901	0.9179	0.8482
CLUG_04470	1.1196	0.8832	0.9383	0.8804	0.9348	1.0089	1.0345	1.0893	0.9057	0.9275	0.9755	0.8772	0.9284	0.9251	0.9046	1.0004	0.9576	1.0625	0.9569	0.9506	0.9199	0.8896	0.8708	0.8036	0.8683	0.8392	0.8636	0.9315	0.8450	0.8792	0.9534	0.9013	0.9170	0.9346	0.8816	0.9238	0.8234	0.7201	0.7344	0.8124	0.9616	0.8674	0.9158	0.8255	0.7861	0.7761	0.8040	0.8437	0.8257	0.8956	0.9219	0.8713
CLUG_04471	0.9447	0.8823	0.9428	0.9007	0.9725	1.0241	0.9349	0.9350	0.9838	0.9308	1.0155	0.9142	0.8974	0.9388	0.9342	0.9859	0.9283	0.9446	0.8892	0.9698	0.9150	0.8891	0.8953	0.8411	0.9911	0.8677	0.9446	0.9232	0.8585	0.8889	0.9907	0.9816	0.9577	0.9150	0.8900	0.9407	0.9141	0.8053	0.7830	0.8287	0.9359	0.9003	0.8875	0.8254	0.8105	0.8450	0.8139	0.8026	0.8931	0.9287	0.9511	0.9004
CLUG_04472	0.9451	0.8863	0.9156	0.8563	0.9042	1.0261	0.8299	0.9008	0.8425	0.9515	1.0844	0.8873	0.8395	0.8515	0.8925	0.8887	1.0131	0.8777	0.8925	0.8980	0.8901	0.8441	0.8352	0.7205	0.9391	0.8199	0.8486	0.8969	0.7789	0.8610	0.9427	0.9449	0.9037	0.8686	0.8953	0.8648	0.9438	0.7673	0.7898	0.7805	0.9458	0.8698	0.8709	0.7990	0.8016	0.8123	0.7835	0.8058	0.8735	0.9096	0.8874	0.8198
CLUG_04473	0.8553	0.8800	0.8975	0.9316	0.9548	0.9303	0.9433	0.9233	0.8247	0.9204	0.9001	0.9356	0.8581	0.9072	0.8734	0.8709	0.8599	0.8765	0.7905	0.8837	0.9015	0.8743	0.8534	0.7563	0.9065	0.8781	0.9010	0.8762	0.8185	0.8429	0.9349	0.9264	0.9393	0.9123	0.8994	0.8771	0.8702	0.7744	0.7731	0.7666	0.8952	0.8530	0.8182	0.7873	0.7629	0.7199	0.7412	0.7462	0.8646	0.8852	0.8789	0.8333
CLUG_04474	0.9444	0.9020	0.9062	0.9168	0.9869	1.0484	0.9642	0.9474	0.9366	0.9296	0.9708	0.9352	0.9209	0.9206	0.9528	0.9647	0.9344	0.9259	0.8983	0.9724	0.9015	0.9673	0.9039	0.7900	0.9768	0.8786	0.9198	0.9215	0.8577	0.9078	0.9667	0.9430	0.9950	0.9659	0.9157	0.9354	0.9153	0.7878	0.7733	0.8182	0.9464	0.8933	0.8869	0.8235	0.7999	0.7924	0.7865	0.7546	0.8696	0.9207	0.9219	0.8861
CLUG_04475	0.8655	0.8404	0.8389	0.8515	0.8912	0.8866	0.8913	0.8852	0.9176	0.8230	0.8698	0.8709	0.8935	0.8406	0.8457	0.8681	0.7921	0.8856	0.7815	0.8673	0.7878	0.9609	0.7940	0.7673	0.8869	0.8281	0.8803	0.9000	0.8017	0.8648	0.9176	0.8954	0.8830	0.8778	0.8836	0.8803	0.8697	0.7645	0.7156	0.8227	0.9297	0.8463	0.8643	0.7841	0.7828	0.7981	0.7801	0.8076	0.8628	0.8977	0.8993	0.8399
CLUG_04476	0.8392	0.8233	0.8420	0.8278	0.8673	0.8888	0.9424	0.8555	0.9565	0.8357	0.8318	0.8380	0.9036	0.8542	0.8225	0.8661	0.7873	0.8608	0.8449	0.8761	0.8132	0.8392	0.8852	0.7360	0.8847	0.8176	0.8491	0.8317	0.7858	0.8574	0.9327	0.8450	0.9350	0.8461	0.7890	0.8571	0.7069	0.7261	0.6722	0.7316	0.9134	0.8461	0.8637	0.7600	0.7513	0.7487	0.7316	0.7213	0.8324	0.8347	0.8777	0.8073
CLUG_04477	0.8656	0.8173	0.8609	0.8700	0.8304	0.8904	0.8608	0.8186	0.8554	0.8836	0.8560	0.8691	0.8113	0.8364	0.8428	0.8349	0.8129	0.8697	0.8476	0.9099	0.8005	0.8345	0.8316	0.7445	0.9184	0.8083	0.8876	0.8683	0.7969	0.8610	0.9152	0.9217	0.9212	0.8406	0.8572	0.8794	0.8291	0.7202	0.7281	0.7539	0.8796	0.8207	0.8227	0.7472	0.7308	0.7858	0.7590	0.7251	0.7982	0.8543	0.8400	0.8443
CLUG_04478	0.8877	0.8864	0.8726	0.8655	0.9025	0.9329	0.9430	0.8568	0.8425	0.8628	0.9327	0.9118	0.8793	0.8769	0.8928	0.8248	0.8263	0.8430	0.8430	0.9075	0.8883	0.8773	0.8129	0.7411	0.9042	0.8340	0.8714	0.8541	0.8570	0.8543	0.9378	0.8835	0.9472	0.8998	0.8560	0.8997	0.7693	0.6974	0.7460	0.7874	0.8638	0.8307	0.8129	0.7481	0.7585	0.7739	0.7291	0.7359	0.8117	0.8637	0.9149	0.8150
CLUG_04479	0.9653	0.9572	1.0309	0.8669	0.9849	0.9613	0.9006	0.8218	0.9221	0.9328	0.9319	0.8308	0.9650	0.9240	0.8941	0.8442	0.8491	0.8866	0.8554	0.9304	0.8674	0.9003	0.8789	0.7971	0.9807	0.8405	0.9125	0.8974	0.8683	0.9054	0.9877	0.9314	0.9626	0.9432	0.9086	0.9695	0.8823	0.7795	0.7425	0.8238	0.9099	0.8816	0.8547	0.7453	0.7590	0.8278	0.8190	0.7282	0.8887	0.9413	0.8826	0.7978
CLUG_04480	0.9476	0.8634	0.8917	0.9002	0.9076	0.9154	0.9030	0.8878	0.9041	0.8870	0.9714	0.9021	0.8367	0.9023	0.9009	0.8143	0.9027	0.9217	0.8194	0.8966	0.8606	0.8703	0.8518	0.7595	0.9545	0.8500	0.9266	0.9016	0.8303	0.8694	0.9588	0.9202	0.9163	0.8967	0.8382	0.8889	0.8972	0.7494	0.7074	0.7449	0.8744	0.8244	0.8590	0.7652	0.7682	0.7437	0.7378	0.7336	0.8301	0.8688	0.9002	0.8261
CLUG_04481	0.7417	0.6572	0.7378	0.6917	0.7582	0.8577	0.8367	0.7373	0.7522	0.7174	0.7622	0.7987	0.7219	0.7126	0.6732	0.6262	0.7502	0.7864	0.7552	0.7555	0.6759	0.7395	0.7121	0.5750	0.8143	0.7493	0.7984	0.8204	0.7336	0.8026	0.8298	0.8098	0.8434	0.7723	0.8153	0.8041	0.9766	0.6795	0.6916	0.7417	0.8019	0.7300	0.7440	0.6860	0.7065	0.7087	0.7070	0.7132	0.7534	0.8204	0.8282	0.7834
CLUG_04482	0.9734	0.9165	0.9706	0.9548	0.9380	0.9388	0.9782	0.9649	0.9314	0.9270	0.9601	0.9596	0.9722	0.9177	0.9306	0.8838	0.9115	0.9064	0.8433	0.9802	0.8914	0.9507	0.9452	0.8503	0.9346	0.8941	0.9227	0.8774	0.8736	0.9113	0.9724	0.9791	0.9734	0.9071	0.8650	0.9049	0.8903	0.7659	0.7424	0.8106	0.9173	0.8559	0.8633	0.7814	0.7529	0.7950	0.8196	0.7833	0.8877	0.9032	0.9528	0.8560
CLUG_04483	0.8895	0.8188	0.8366	0.8644	0.8389	0.8810	0.8716	0.8975	0.8754	0.8559	0.8929	0.8932	0.8497	0.8549	0.8733	0.8559	0.8422	0.8736	0.8183	0.8894	0.8301	0.8748	0.8218	0.7506	0.9158	0.8288	0.8823	0.8509	0.8067	0.8564	0.9143	0.8805	0.9219	0.9088	0.8130	0.8793	0.8846	0.7029	0.7238	0.7702	0.8385	0.8121	0.8238	0.7446	0.7448	0.7763	0.7494	0.7633	0.8226	0.8581	0.8996	0.8192
CLUG_04484	0.8911	0.7993	0.7672	0.7763	0.8638	0.9002	0.9103	0.8185	0.8160	0.8779	0.8894	0.8667	0.8326	0.7950	0.7547	0.7557	0.7462	0.8882	0.8427	0.8895	0.7706	0.7786	0.7262	0.7028	0.9723	0.8077	0.9462	0.8726	0.8619	0.8697	0.9819	0.9422	0.9327	0.9201	0.8315	0.8975	1.1663	0.7769	0.7808	0.8444	0.9197	0.8572	0.8230	0.8027	0.7687	0.7796	0.8219	0.7344	0.9101	0.8805	0.9198	0.8494
