GENE	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_02180	1.0425	B19.1310A	UNK	B
CLUG_02180	1.0250	B20.1311A	UNK	B
CLUG_02180	1.0208	B21.1312A	UNK	B
CLUG_02180	1.0270	B22.134E	UNK	B
CLUG_02180	1.0443	B23.133H	UNK	B
CLUG_02180	1.0246	B24.133F	UNK	B
CLUG_02180	1.0689	B25.135C	UNK	B
CLUG_02180	0.9802	B26.131A	UNK	B
CLUG_02180	0.9755	B27.136A	UNK	B
CLUG_02180	1.1704	B28.13UM	UNK	B
CLUG_02180	1.1696	C10.9M3	UNK	C
CLUG_02180	1.0927	C11.9M41	UNK	C
CLUG_02180	1.1687	C12.9U1	UNK	C
CLUG_02180	0.9743	C13.9U2	UNK	C
CLUG_02180	0.9915	C14.9U3	UNK	C
CLUG_02180	1.1222	C15.9U4s	UNK	C
CLUG_02180	1.0923	C4.9L1	UNK	C
CLUG_02180	1.1135	C5.9L2	UNK	C
CLUG_02180	1.0394	C6.9L3	UNK	C
CLUG_02180	1.0483	C7.9L4	UNK	C
CLUG_02180	1.1690	C8.9M1	UNK	C
CLUG_02180	1.0035	C9.9M2	UNK	C
CLUG_02180	1.0429	ctl1.AL1B	L	A
CLUG_02180	1.0553	ctl2.AL1B	L	A
CLUG_02180	0.9853	ctl3.C9L1	UNK	C
CLUG_02181	0.9412	A10.L4C	L	A
CLUG_02181	0.8684	A11.L11G	L	A
CLUG_02181	0.9039	A12.L10B	L	A
CLUG_02181	0.9462	A13.L3B	L	A
CLUG_02181	0.9100	A14.L4E	L	A
CLUG_02181	0.8985	A15.L4G	L	A
CLUG_02181	0.9749	A16.L7C	L	A
CLUG_02181	1.0225	A17.L1B	L	A
CLUG_02181	0.9935	A18.S4H	S	A
CLUG_02181	1.0180	A19.S3B	S	A
CLUG_02181	0.9180	A2.U10A	U	A
CLUG_02181	0.9396	A20.S1E	S	A
CLUG_02181	1.0386	A21.S8A	S	A
CLUG_02181	0.9523	A22.UpperP	U	A
CLUG_02181	0.8365	A23.LowerP	L	A
CLUG_02181	0.8416	A24.SputuP	S	A
CLUG_02181	0.9825	A3.U3G	U	A
CLUG_02181	0.9410	A4.U3B	U	A
CLUG_02181	0.9884	A5.U10D	U	A
CLUG_02181	0.9156	A6.U5C	U	A
CLUG_02181	0.9197	A7.U3E	U	A
CLUG_02181	0.8691	A8.U2E	U	A
CLUG_02181	0.8570	A9.L3D	L	A
CLUG_02181	0.8978	ATCC42720	UNK	ATCC42720
CLUG_02181	1.1104	B16.1310D	UNK	B
CLUG_02181	1.1764	B17.1311G	UNK	B
CLUG_02181	1.1181	B18.1312G	UNK	B
CLUG_02181	1.1056	B19.1310A	UNK	B
CLUG_02181	1.0841	B20.1311A	UNK	B
CLUG_02181	1.0808	B21.1312A	UNK	B
CLUG_02181	1.1253	B22.134E	UNK	B
CLUG_02181	1.0202	B23.133H	UNK	B
CLUG_02181	1.0383	B24.133F	UNK	B
CLUG_02181	1.2089	B25.135C	UNK	B
CLUG_02181	1.0448	B26.131A	UNK	B
CLUG_02181	1.0310	B27.136A	UNK	B
CLUG_02181	1.1663	B28.13UM	UNK	B
CLUG_02181	1.1425	C10.9M3	UNK	C
CLUG_02181	1.0590	C11.9M41	UNK	C
CLUG_02181	1.1768	C12.9U1	UNK	C
CLUG_02181	1.0113	C13.9U2	UNK	C
CLUG_02181	1.0724	C14.9U3	UNK	C
CLUG_02181	1.1181	C15.9U4s	UNK	C
CLUG_02181	1.0962	C4.9L1	UNK	C
CLUG_02181	1.1408	C5.9L2	UNK	C
CLUG_02181	1.0946	C6.9L3	UNK	C
CLUG_02181	1.0519	C7.9L4	UNK	C
CLUG_02181	1.1955	C8.9M1	UNK	C
CLUG_02181	1.1087	C9.9M2	UNK	C
CLUG_02181	1.1099	ctl1.AL1B	L	A
CLUG_02181	1.0771	ctl2.AL1B	L	A
CLUG_02181	1.0602	ctl3.C9L1	UNK	C
CLUG_02182	0.8796	A10.L4C	L	A
CLUG_02182	0.8180	A11.L11G	L	A
CLUG_02182	0.8726	A12.L10B	L	A
CLUG_02182	0.9039	A13.L3B	L	A
CLUG_02182	0.9584	A14.L4E	L	A
CLUG_02182	0.9126	A15.L4G	L	A
CLUG_02182	0.9089	A16.L7C	L	A
CLUG_02182	0.8462	A17.L1B	L	A
CLUG_02182	0.9539	A18.S4H	S	A
CLUG_02182	1.0506	A19.S3B	S	A
CLUG_02182	0.9049	A2.U10A	U	A
CLUG_02182	0.9212	A20.S1E	S	A
CLUG_02182	0.9740	A21.S8A	S	A
CLUG_02182	0.9047	A22.UpperP	U	A
CLUG_02182	0.8805	A23.LowerP	L	A
CLUG_02182	0.9105	A24.SputuP	S	A
CLUG_02182	0.8997	A3.U3G	U	A
CLUG_02182	0.9148	A4.U3B	U	A
CLUG_02182	1.0237	A5.U10D	U	A
CLUG_02182	0.9499	A6.U5C	U	A
CLUG_02182	0.9333	A7.U3E	U	A
CLUG_02182	0.8754	A8.U2E	U	A
CLUG_02182	0.9910	A9.L3D	L	A
CLUG_02182	0.9059	ATCC42720	UNK	ATCC42720
CLUG_02182	1.1234	B16.1310D	UNK	B
CLUG_02182	1.1589	B17.1311G	UNK	B
CLUG_02182	1.0777	B18.1312G	UNK	B
CLUG_02182	1.1506	B19.1310A	UNK	B
CLUG_02182	1.0789	B20.1311A	UNK	B
CLUG_02182	1.1131	B21.1312A	UNK	B
CLUG_02182	1.0532	B22.134E	UNK	B
CLUG_02182	1.0762	B23.133H	UNK	B
CLUG_02182	1.0458	B24.133F	UNK	B
CLUG_02182	1.1424	B25.135C	UNK	B
CLUG_02182	1.0404	B26.131A	UNK	B
CLUG_02182	1.0095	B27.136A	UNK	B
CLUG_02182	1.2547	B28.13UM	UNK	B
CLUG_02182	1.2067	C10.9M3	UNK	C
CLUG_02182	1.0869	C11.9M41	UNK	C
CLUG_02182	1.1519	C12.9U1	UNK	C
CLUG_02182	1.0176	C13.9U2	UNK	C
CLUG_02182	1.0498	C14.9U3	UNK	C
CLUG_02182	1.0756	C15.9U4s	UNK	C
CLUG_02182	1.1440	C4.9L1	UNK	C
CLUG_02182	1.1393	C5.9L2	UNK	C
CLUG_02182	1.0880	C6.9L3	UNK	C
CLUG_02182	1.0551	C7.9L4	UNK	C
CLUG_02182	1.2126	C8.9M1	UNK	C
CLUG_02182	1.0093	C9.9M2	UNK	C
CLUG_02182	1.0779	ctl1.AL1B	L	A
CLUG_02182	1.0952	ctl2.AL1B	L	A
CLUG_02182	1.0221	ctl3.C9L1	UNK	C
CLUG_02183	0.9641	A10.L4C	L	A
CLUG_02183	0.8911	A11.L11G	L	A
CLUG_02183	0.9207	A12.L10B	L	A
CLUG_02183	0.8653	A13.L3B	L	A
CLUG_02183	0.9914	A14.L4E	L	A
CLUG_02183	0.9011	A15.L4G	L	A
CLUG_02183	0.9561	A16.L7C	L	A
CLUG_02183	0.9829	A17.L1B	L	A
CLUG_02183	1.0909	A18.S4H	S	A
CLUG_02183	1.0514	A19.S3B	S	A
CLUG_02183	0.9534	A2.U10A	U	A
CLUG_02183	0.9463	A20.S1E	S	A
CLUG_02183	1.0065	A21.S8A	S	A
CLUG_02183	0.9673	A22.UpperP	U	A
CLUG_02183	0.9359	A23.LowerP	L	A
CLUG_02183	0.9407	A24.SputuP	S	A
CLUG_02183	0.9516	A3.U3G	U	A
CLUG_02183	0.9673	A4.U3B	U	A
CLUG_02183	1.0245	A5.U10D	U	A
CLUG_02183	0.9545	A6.U5C	U	A
CLUG_02183	0.9102	A7.U3E	U	A
CLUG_02183	0.9549	A8.U2E	U	A
CLUG_02183	1.0123	A9.L3D	L	A
CLUG_02183	0.9871	ATCC42720	UNK	ATCC42720
CLUG_02183	1.0534	B16.1310D	UNK	B
CLUG_02183	1.0932	B17.1311G	UNK	B
CLUG_02183	1.0430	B18.1312G	UNK	B
CLUG_02183	1.1066	B19.1310A	UNK	B
CLUG_02183	1.0550	B20.1311A	UNK	B
CLUG_02183	1.0341	B21.1312A	UNK	B
CLUG_02183	1.0476	B22.134E	UNK	B
CLUG_02183	1.0410	B23.133H	UNK	B
CLUG_02183	1.0131	B24.133F	UNK	B
CLUG_02183	1.1181	B25.135C	UNK	B
CLUG_02183	1.0389	B26.131A	UNK	B
CLUG_02183	0.9673	B27.136A	UNK	B
CLUG_02183	0.9990	B28.13UM	UNK	B
CLUG_02183	1.1071	C10.9M3	UNK	C
CLUG_02183	1.0675	C11.9M41	UNK	C
CLUG_02183	1.1751	C12.9U1	UNK	C
CLUG_02183	0.9933	C13.9U2	UNK	C
CLUG_02183	1.0218	C14.9U3	UNK	C
CLUG_02183	1.0559	C15.9U4s	UNK	C
CLUG_02183	1.0234	C4.9L1	UNK	C
CLUG_02183	1.1098	C5.9L2	UNK	C
CLUG_02183	1.0308	C6.9L3	UNK	C
CLUG_02183	1.0295	C7.9L4	UNK	C
CLUG_02183	1.1480	C8.9M1	UNK	C
CLUG_02183	0.9875	C9.9M2	UNK	C
CLUG_02183	1.0415	ctl1.AL1B	L	A
CLUG_02183	1.0144	ctl2.AL1B	L	A
CLUG_02183	1.0083	ctl3.C9L1	UNK	C
CLUG_02184	1.2406	A10.L4C	L	A
CLUG_02184	1.1327	A11.L11G	L	A
CLUG_02184	1.1069	A12.L10B	L	A
CLUG_02184	1.1582	A13.L3B	L	A
CLUG_02184	1.1323	A14.L4E	L	A
CLUG_02184	1.0819	A15.L4G	L	A
CLUG_02184	1.1028	A16.L7C	L	A
CLUG_02184	1.1387	A17.L1B	L	A
CLUG_02184	1.0171	A18.S4H	S	A
CLUG_02184	1.1789	A19.S3B	S	A
CLUG_02184	1.1213	A2.U10A	U	A
CLUG_02184	1.0291	A20.S1E	S	A
CLUG_02184	1.0681	A21.S8A	S	A
CLUG_02184	1.1839	A22.UpperP	U	A
CLUG_02184	1.2487	A23.LowerP	L	A
CLUG_02184	1.1833	A24.SputuP	S	A
CLUG_02184	1.1507	A3.U3G	U	A
CLUG_02184	0.9645	A4.U3B	U	A
CLUG_02184	1.1398	A5.U10D	U	A
CLUG_02184	1.1005	A6.U5C	U	A
CLUG_02184	1.0256	A7.U3E	U	A
CLUG_02184	1.1136	A8.U2E	U	A
CLUG_02184	1.1370	A9.L3D	L	A
CLUG_02184	1.0998	ATCC42720	UNK	ATCC42720
CLUG_02184	1.1292	B16.1310D	UNK	B
CLUG_02184	1.2628	B17.1311G	UNK	B
CLUG_02184	1.1411	B18.1312G	UNK	B
CLUG_02184	1.2002	B19.1310A	UNK	B
CLUG_02184	1.2439	B20.1311A	UNK	B
CLUG_02184	1.1229	B21.1312A	UNK	B
CLUG_02184	1.1291	B22.134E	UNK	B
CLUG_02184	1.0919	B23.133H	UNK	B
CLUG_02184	1.1121	B24.133F	UNK	B
CLUG_02184	1.2633	B25.135C	UNK	B
CLUG_02184	1.1397	B26.131A	UNK	B
CLUG_02184	1.0858	B27.136A	UNK	B
CLUG_02184	0.9870	B28.13UM	UNK	B
CLUG_02184	1.2115	C10.9M3	UNK	C
CLUG_02184	1.2309	C11.9M41	UNK	C
CLUG_02184	1.2417	C12.9U1	UNK	C
CLUG_02184	1.0145	C13.9U2	UNK	C
CLUG_02184	1.1501	C14.9U3	UNK	C
CLUG_02184	1.2341	C15.9U4s	UNK	C
CLUG_02184	1.0608	C4.9L1	UNK	C
CLUG_02184	1.2129	C5.9L2	UNK	C
CLUG_02184	1.1550	C6.9L3	UNK	C
CLUG_02184	1.2117	C7.9L4	UNK	C
CLUG_02184	1.2788	C8.9M1	UNK	C
CLUG_02184	1.0706	C9.9M2	UNK	C
CLUG_02184	1.1523	ctl1.AL1B	L	A
CLUG_02184	1.1161	ctl2.AL1B	L	A
CLUG_02184	1.0730	ctl3.C9L1	UNK	C
CLUG_02185	0.9544	A10.L4C	L	A
CLUG_02185	0.9058	A11.L11G	L	A
CLUG_02185	1.0170	A12.L10B	L	A
CLUG_02185	1.1286	A13.L3B	L	A
CLUG_02185	1.0879	A14.L4E	L	A
CLUG_02185	0.9699	A15.L4G	L	A
CLUG_02185	1.0125	A16.L7C	L	A
CLUG_02185	0.9578	A17.L1B	L	A
CLUG_02185	0.9754	A18.S4H	S	A
CLUG_02185	1.1610	A19.S3B	S	A
CLUG_02185	1.0730	A2.U10A	U	A
CLUG_02185	1.1674	A20.S1E	S	A
CLUG_02185	1.2584	A21.S8A	S	A
CLUG_02185	1.1035	A22.UpperP	U	A
CLUG_02185	1.0344	A23.LowerP	L	A
CLUG_02185	1.2460	A24.SputuP	S	A
CLUG_02185	1.2140	A3.U3G	U	A
CLUG_02185	1.0184	A4.U3B	U	A
CLUG_02185	1.2194	A5.U10D	U	A
CLUG_02185	1.0934	A6.U5C	U	A
CLUG_02185	1.1082	A7.U3E	U	A
CLUG_02185	1.0255	A8.U2E	U	A
CLUG_02185	1.2288	A9.L3D	L	A
CLUG_02185	1.1314	ATCC42720	UNK	ATCC42720
CLUG_02185	1.1990	B16.1310D	UNK	B
CLUG_02185	1.1536	B17.1311G	UNK	B
CLUG_02185	1.1377	B18.1312G	UNK	B
CLUG_02185	1.1897	B19.1310A	UNK	B
CLUG_02185	1.1346	B20.1311A	UNK	B
CLUG_02185	1.2326	B21.1312A	UNK	B
CLUG_02185	1.0913	B22.134E	UNK	B
CLUG_02185	1.0635	B23.133H	UNK	B
CLUG_02185	1.1020	B24.133F	UNK	B
CLUG_02185	1.1749	B25.135C	UNK	B
CLUG_02185	0.9975	B26.131A	UNK	B
CLUG_02185	1.0595	B27.136A	UNK	B
CLUG_02185	0.9910	B28.13UM	UNK	B
CLUG_02185	1.2312	C10.9M3	UNK	C
CLUG_02185	1.1657	C11.9M41	UNK	C
CLUG_02185	1.3213	C12.9U1	UNK	C
CLUG_02185	1.1035	C13.9U2	UNK	C
CLUG_02185	1.0777	C14.9U3	UNK	C
CLUG_02185	1.1328	C15.9U4s	UNK	C
CLUG_02185	1.1915	C4.9L1	UNK	C
CLUG_02185	1.1980	C5.9L2	UNK	C
CLUG_02185	1.1108	C6.9L3	UNK	C
CLUG_02185	1.1216	C7.9L4	UNK	C
CLUG_02185	1.3210	C8.9M1	UNK	C
CLUG_02185	1.1082	C9.9M2	UNK	C
CLUG_02185	1.1911	ctl1.AL1B	L	A
CLUG_02185	1.0685	ctl2.AL1B	L	A
CLUG_02185	1.0226	ctl3.C9L1	UNK	C
CLUG_02186	1.6141	A10.L4C	L	A
CLUG_02186	1.5109	A11.L11G	L	A
CLUG_02186	1.6922	A12.L10B	L	A
CLUG_02186	1.5909	A13.L3B	L	A
CLUG_02186	1.5710	A14.L4E	L	A
CLUG_02186	1.4232	A15.L4G	L	A
CLUG_02186	1.5714	A16.L7C	L	A
CLUG_02186	1.6145	A17.L1B	L	A
CLUG_02186	1.6214	A18.S4H	S	A
CLUG_02186	1.6216	A19.S3B	S	A
CLUG_02186	1.6389	A2.U10A	U	A
CLUG_02186	1.5146	A20.S1E	S	A
CLUG_02186	1.6586	A21.S8A	S	A
CLUG_02186	1.5700	A22.UpperP	U	A
CLUG_02186	1.5759	A23.LowerP	L	A
CLUG_02186	1.6354	A24.SputuP	S	A
CLUG_02186	1.5188	A3.U3G	U	A
CLUG_02186	1.6564	A4.U3B	U	A
CLUG_02186	1.6120	A5.U10D	U	A
CLUG_02186	1.5510	A6.U5C	U	A
CLUG_02186	1.6650	A7.U3E	U	A
CLUG_02186	1.5393	A8.U2E	U	A
CLUG_02186	1.6044	A9.L3D	L	A
CLUG_02186	1.0864	ATCC42720	UNK	ATCC42720
CLUG_02186	1.5776	B16.1310D	UNK	B
CLUG_02186	1.6339	B17.1311G	UNK	B
CLUG_02186	1.5410	B18.1312G	UNK	B
CLUG_02186	1.6129	B19.1310A	UNK	B
CLUG_02186	1.5251	B20.1311A	UNK	B
CLUG_02186	1.4509	B21.1312A	UNK	B
CLUG_02186	1.5020	B22.134E	UNK	B
CLUG_02186	1.4813	B23.133H	UNK	B
CLUG_02186	1.5149	B24.133F	UNK	B
CLUG_02186	1.6101	B25.135C	UNK	B
CLUG_02186	1.5089	B26.131A	UNK	B
CLUG_02186	1.5278	B27.136A	UNK	B
CLUG_02186	1.3269	B28.13UM	UNK	B
CLUG_02186	1.0258	C10.9M3	UNK	C
CLUG_02186	0.9487	C11.9M41	UNK	C
CLUG_02186	1.0069	C12.9U1	UNK	C
CLUG_02186	0.8808	C13.9U2	UNK	C
CLUG_02186	0.9066	C14.9U3	UNK	C
CLUG_02186	0.9767	C15.9U4s	UNK	C
CLUG_02186	0.9898	C4.9L1	UNK	C
CLUG_02186	0.9508	C5.9L2	UNK	C
CLUG_02186	0.9158	C6.9L3	UNK	C
CLUG_02186	0.9384	C7.9L4	UNK	C
CLUG_02186	1.0616	C8.9M1	UNK	C
CLUG_02186	0.8553	C9.9M2	UNK	C
CLUG_02186	1.4816	ctl1.AL1B	L	A
CLUG_02186	1.5320	ctl2.AL1B	L	A
CLUG_02186	0.8377	ctl3.C9L1	UNK	C
CLUG_02187	0.9781	A10.L4C	L	A
CLUG_02187	0.9078	A11.L11G	L	A
CLUG_02187	0.8793	A12.L10B	L	A
CLUG_02187	0.9602	A13.L3B	L	A
CLUG_02187	0.8103	A14.L4E	L	A
CLUG_02187	0.8406	A15.L4G	L	A
CLUG_02187	0.8009	A16.L7C	L	A
CLUG_02187	0.8394	A17.L1B	L	A
CLUG_02187	1.0244	A18.S4H	S	A
CLUG_02187	0.9279	A19.S3B	S	A
CLUG_02187	0.9764	A2.U10A	U	A
CLUG_02187	0.8754	A20.S1E	S	A
CLUG_02187	0.9879	A21.S8A	S	A
CLUG_02187	0.9708	A22.UpperP	U	A
CLUG_02187	0.9397	A23.LowerP	L	A
CLUG_02187	0.9726	A24.SputuP	S	A
CLUG_02187	0.8755	A3.U3G	U	A
CLUG_02187	0.9848	A4.U3B	U	A
CLUG_02187	0.9641	A5.U10D	U	A
CLUG_02187	0.9087	A6.U5C	U	A
CLUG_02187	0.9021	A7.U3E	U	A
CLUG_02187	0.8695	A8.U2E	U	A
CLUG_02187	0.8825	A9.L3D	L	A
CLUG_02187	1.1969	ATCC42720	UNK	ATCC42720
CLUG_02187	1.1680	B16.1310D	UNK	B
CLUG_02187	1.1666	B17.1311G	UNK	B
CLUG_02187	1.1559	B18.1312G	UNK	B
CLUG_02187	1.1389	B19.1310A	UNK	B
CLUG_02187	1.1974	B20.1311A	UNK	B
CLUG_02187	1.1087	B21.1312A	UNK	B
CLUG_02187	1.1313	B22.134E	UNK	B
CLUG_02187	1.0785	B23.133H	UNK	B
CLUG_02187	1.0863	B24.133F	UNK	B
CLUG_02187	1.2798	B25.135C	UNK	B
CLUG_02187	1.0687	B26.131A	UNK	B
CLUG_02187	1.0949	B27.136A	UNK	B
CLUG_02187	1.0276	B28.13UM	UNK	B
CLUG_02187	1.1458	C10.9M3	UNK	C
CLUG_02187	1.1165	C11.9M41	UNK	C
CLUG_02187	1.1241	C12.9U1	UNK	C
CLUG_02187	0.9567	C13.9U2	UNK	C
CLUG_02187	1.0995	C14.9U3	UNK	C
CLUG_02187	1.0518	C15.9U4s	UNK	C
CLUG_02187	1.0658	C4.9L1	UNK	C
CLUG_02187	1.1168	C5.9L2	UNK	C
CLUG_02187	1.0722	C6.9L3	UNK	C
CLUG_02187	1.1162	C7.9L4	UNK	C
CLUG_02187	1.1863	C8.9M1	UNK	C
CLUG_02187	0.9927	C9.9M2	UNK	C
CLUG_02187	1.1517	ctl1.AL1B	L	A
CLUG_02187	1.0482	ctl2.AL1B	L	A
CLUG_02187	0.9759	ctl3.C9L1	UNK	C
CLUG_02188	1.0915	A10.L4C	L	A
CLUG_02188	1.1505	A11.L11G	L	A
CLUG_02188	1.1187	A12.L10B	L	A
CLUG_02188	1.1068	A13.L3B	L	A
CLUG_02188	1.0009	A14.L4E	L	A
CLUG_02188	1.0519	A15.L4G	L	A
CLUG_02188	0.9766	A16.L7C	L	A
CLUG_02188	1.1782	A17.L1B	L	A
CLUG_02188	1.0434	A18.S4H	S	A
CLUG_02188	1.1813	A19.S3B	S	A
CLUG_02188	1.1020	A2.U10A	U	A
CLUG_02188	1.0808	A20.S1E	S	A
CLUG_02188	1.0760	A21.S8A	S	A
CLUG_02188	1.0723	A22.UpperP	U	A
CLUG_02188	1.1602	A23.LowerP	L	A
CLUG_02188	1.1181	A24.SputuP	S	A
CLUG_02188	1.0698	A3.U3G	U	A
CLUG_02188	0.9987	A4.U3B	U	A
CLUG_02188	1.2060	A5.U10D	U	A
CLUG_02188	0.9920	A6.U5C	U	A
CLUG_02188	0.9261	A7.U3E	U	A
CLUG_02188	1.0613	A8.U2E	U	A
CLUG_02188	1.1622	A9.L3D	L	A
CLUG_02188	1.1067	ATCC42720	UNK	ATCC42720
CLUG_02188	1.1930	B16.1310D	UNK	B
CLUG_02188	1.2528	B17.1311G	UNK	B
CLUG_02188	1.0035	B18.1312G	UNK	B
CLUG_02188	1.1700	B19.1310A	UNK	B
CLUG_02188	1.1430	B20.1311A	UNK	B
CLUG_02188	1.0871	B21.1312A	UNK	B
CLUG_02188	1.1106	B22.134E	UNK	B
CLUG_02188	1.1068	B23.133H	UNK	B
CLUG_02188	1.0780	B24.133F	UNK	B
CLUG_02188	1.1730	B25.135C	UNK	B
CLUG_02188	1.0745	B26.131A	UNK	B
CLUG_02188	1.0040	B27.136A	UNK	B
CLUG_02188	0.8861	B28.13UM	UNK	B
CLUG_02188	1.0233	C10.9M3	UNK	C
CLUG_02188	1.1004	C11.9M41	UNK	C
CLUG_02188	1.2691	C12.9U1	UNK	C
CLUG_02188	1.0997	C13.9U2	UNK	C
CLUG_02188	1.0518	C14.9U3	UNK	C
CLUG_02188	1.1271	C15.9U4s	UNK	C
CLUG_02188	1.1289	C4.9L1	UNK	C
CLUG_02188	1.2116	C5.9L2	UNK	C
CLUG_02188	1.0601	C6.9L3	UNK	C
CLUG_02188	1.0429	C7.9L4	UNK	C
CLUG_02188	1.3331	C8.9M1	UNK	C
CLUG_02188	1.0861	C9.9M2	UNK	C
CLUG_02188	1.0927	ctl1.AL1B	L	A
CLUG_02188	1.1638	ctl2.AL1B	L	A
CLUG_02188	1.0153	ctl3.C9L1	UNK	C
CLUG_02189	1.3635	A10.L4C	L	A
CLUG_02189	1.2305	A11.L11G	L	A
CLUG_02189	1.2717	A12.L10B	L	A
CLUG_02189	1.3667	A13.L3B	L	A
CLUG_02189	1.3093	A14.L4E	L	A
CLUG_02189	1.3291	A15.L4G	L	A
CLUG_02189	1.3734	A16.L7C	L	A
CLUG_02189	1.3107	A17.L1B	L	A
CLUG_02189	1.3024	A18.S4H	S	A
CLUG_02189	1.3623	A19.S3B	S	A
CLUG_02189	1.2953	A2.U10A	U	A
CLUG_02189	1.3251	A20.S1E	S	A
CLUG_02189	1.3590	A21.S8A	S	A
CLUG_02189	1.2846	A22.UpperP	U	A
CLUG_02189	1.3580	A23.LowerP	L	A
CLUG_02189	1.5848	A24.SputuP	S	A
CLUG_02189	1.5209	A3.U3G	U	A
CLUG_02189	1.3402	A4.U3B	U	A
CLUG_02189	1.3281	A5.U10D	U	A
CLUG_02189	1.2648	A6.U5C	U	A
CLUG_02189	1.2876	A7.U3E	U	A
CLUG_02189	1.2335	A8.U2E	U	A
CLUG_02189	1.2918	A9.L3D	L	A
CLUG_02189	1.2061	ATCC42720	UNK	ATCC42720
CLUG_02189	1.3277	B16.1310D	UNK	B
CLUG_02189	1.5169	B17.1311G	UNK	B
CLUG_02189	1.2516	B18.1312G	UNK	B
CLUG_02189	1.3726	B19.1310A	UNK	B
CLUG_02189	1.3240	B20.1311A	UNK	B
CLUG_02189	1.3121	B21.1312A	UNK	B
CLUG_02189	1.2912	B22.134E	UNK	B
CLUG_02189	1.3275	B23.133H	UNK	B
CLUG_02189	1.3069	B24.133F	UNK	B
CLUG_02189	1.3124	B25.135C	UNK	B
CLUG_02189	1.2058	B26.131A	UNK	B
CLUG_02189	1.2390	B27.136A	UNK	B
CLUG_02189	1.1703	B28.13UM	UNK	B
CLUG_02189	1.2124	C10.9M3	UNK	C
CLUG_02189	1.0556	C11.9M41	UNK	C
CLUG_02189	1.1546	C12.9U1	UNK	C
CLUG_02189	1.0259	C13.9U2	UNK	C
CLUG_02189	1.1924	C14.9U3	UNK	C
CLUG_02189	1.1424	C15.9U4s	UNK	C
CLUG_02189	1.1013	C4.9L1	UNK	C
CLUG_02189	1.1701	C5.9L2	UNK	C
CLUG_02189	1.1140	C6.9L3	UNK	C
CLUG_02189	1.2159	C7.9L4	UNK	C
CLUG_02189	1.3218	C8.9M1	UNK	C
CLUG_02189	1.0704	C9.9M2	UNK	C
CLUG_02189	1.2694	ctl1.AL1B	L	A
CLUG_02189	1.2511	ctl2.AL1B	L	A
CLUG_02189	1.0605	ctl3.C9L1	UNK	C
CLUG_02190	1.3215	A10.L4C	L	A
CLUG_02190	1.2159	A11.L11G	L	A
CLUG_02190	1.2340	A12.L10B	L	A
CLUG_02190	1.3569	A13.L3B	L	A
CLUG_02190	1.2946	A14.L4E	L	A
CLUG_02190	1.3261	A15.L4G	L	A
CLUG_02190	1.3681	A16.L7C	L	A
CLUG_02190	1.2556	A17.L1B	L	A
CLUG_02190	1.2832	A18.S4H	S	A
CLUG_02190	1.3569	A19.S3B	S	A
CLUG_02190	1.2996	A2.U10A	U	A
CLUG_02190	1.2980	A20.S1E	S	A
CLUG_02190	1.3685	A21.S8A	S	A
CLUG_02190	1.2702	A22.UpperP	U	A
CLUG_02190	1.3478	A23.LowerP	L	A
CLUG_02190	1.5344	A24.SputuP	S	A
CLUG_02190	1.5176	A3.U3G	U	A
CLUG_02190	1.3202	A4.U3B	U	A
CLUG_02190	1.3567	A5.U10D	U	A
CLUG_02190	1.2537	A6.U5C	U	A
CLUG_02190	1.3133	A7.U3E	U	A
CLUG_02190	1.2205	A8.U2E	U	A
CLUG_02190	1.2801	A9.L3D	L	A
CLUG_02190	1.1930	ATCC42720	UNK	ATCC42720
CLUG_02190	1.3288	B16.1310D	UNK	B
CLUG_02190	1.5282	B17.1311G	UNK	B
CLUG_02190	1.2573	B18.1312G	UNK	B
CLUG_02190	1.3623	B19.1310A	UNK	B
CLUG_02190	1.3189	B20.1311A	UNK	B
CLUG_02190	1.3249	B21.1312A	UNK	B
CLUG_02190	1.2778	B22.134E	UNK	B
CLUG_02190	1.3283	B23.133H	UNK	B
CLUG_02190	1.3059	B24.133F	UNK	B
CLUG_02190	1.3172	B25.135C	UNK	B
CLUG_02190	1.2031	B26.131A	UNK	B
CLUG_02190	1.2206	B27.136A	UNK	B
CLUG_02190	1.1603	B28.13UM	UNK	B
CLUG_02190	1.2394	C10.9M3	UNK	C
CLUG_02190	1.0786	C11.9M41	UNK	C
CLUG_02190	1.1658	C12.9U1	UNK	C
CLUG_02190	1.0374	C13.9U2	UNK	C
CLUG_02190	1.2023	C14.9U3	UNK	C
CLUG_02190	1.1528	C15.9U4s	UNK	C
CLUG_02190	1.0930	C4.9L1	UNK	C
CLUG_02190	1.1769	C5.9L2	UNK	C
CLUG_02190	1.1189	C6.9L3	UNK	C
CLUG_02190	1.2168	C7.9L4	UNK	C
CLUG_02190	1.3340	C8.9M1	UNK	C
CLUG_02190	1.0776	C9.9M2	UNK	C
CLUG_02190	1.2731	ctl1.AL1B	L	A
CLUG_02190	1.2509	ctl2.AL1B	L	A
CLUG_02190	1.0833	ctl3.C9L1	UNK	C
CLUG_02191	0.9540	A10.L4C	L	A
CLUG_02191	0.9650	A11.L11G	L	A
CLUG_02191	0.8785	A12.L10B	L	A
CLUG_02191	1.1274	A13.L3B	L	A
CLUG_02191	1.0740	A14.L4E	L	A
CLUG_02191	1.0299	A15.L4G	L	A
CLUG_02191	1.0824	A16.L7C	L	A
