GENE	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_01217	1.4496	A19.S3B	S	A
CLUG_01217	1.6168	A2.U10A	U	A
CLUG_01217	1.5202	A20.S1E	S	A
CLUG_01217	1.5492	A21.S8A	S	A
CLUG_01217	1.4474	A22.UpperP	U	A
CLUG_01217	1.5279	A23.LowerP	L	A
CLUG_01217	1.4907	A24.SputuP	S	A
CLUG_01217	1.4224	A3.U3G	U	A
CLUG_01217	1.3436	A4.U3B	U	A
CLUG_01217	1.5693	A5.U10D	U	A
CLUG_01217	1.3863	A6.U5C	U	A
CLUG_01217	1.5386	A7.U3E	U	A
CLUG_01217	1.4544	A8.U2E	U	A
CLUG_01217	1.4884	A9.L3D	L	A
CLUG_01217	1.6327	ATCC42720	UNK	ATCC42720
CLUG_01217	1.6387	B16.1310D	UNK	B
CLUG_01217	1.8485	B17.1311G	UNK	B
CLUG_01217	1.5715	B18.1312G	UNK	B
CLUG_01217	1.5030	B19.1310A	UNK	B
CLUG_01217	1.8154	B20.1311A	UNK	B
CLUG_01217	1.5568	B21.1312A	UNK	B
CLUG_01217	1.5177	B22.134E	UNK	B
CLUG_01217	1.6868	B23.133H	UNK	B
CLUG_01217	1.4947	B24.133F	UNK	B
CLUG_01217	1.5914	B25.135C	UNK	B
CLUG_01217	1.4795	B26.131A	UNK	B
CLUG_01217	1.5451	B27.136A	UNK	B
CLUG_01217	1.6732	B28.13UM	UNK	B
CLUG_01217	1.9724	C10.9M3	UNK	C
CLUG_01217	2.0257	C11.9M41	UNK	C
CLUG_01217	2.2254	C12.9U1	UNK	C
CLUG_01217	1.5517	C13.9U2	UNK	C
CLUG_01217	1.6568	C14.9U3	UNK	C
CLUG_01217	1.5123	C15.9U4s	UNK	C
CLUG_01217	1.9093	C4.9L1	UNK	C
CLUG_01217	1.8325	C5.9L2	UNK	C
CLUG_01217	1.7646	C6.9L3	UNK	C
CLUG_01217	1.8478	C7.9L4	UNK	C
CLUG_01217	2.0022	C8.9M1	UNK	C
CLUG_01217	1.6755	C9.9M2	UNK	C
CLUG_01217	1.3908	ctl1.AL1B	L	A
CLUG_01217	1.5219	ctl2.AL1B	L	A
CLUG_01217	1.5923	ctl3.C9L1	UNK	C
CLUG_01218	1.3779	A10.L4C	L	A
CLUG_01218	1.4482	A11.L11G	L	A
CLUG_01218	1.6603	A12.L10B	L	A
CLUG_01218	1.5245	A13.L3B	L	A
CLUG_01218	1.5657	A14.L4E	L	A
CLUG_01218	1.5298	A15.L4G	L	A
CLUG_01218	1.4361	A16.L7C	L	A
CLUG_01218	1.5285	A17.L1B	L	A
CLUG_01218	1.5150	A18.S4H	S	A
CLUG_01218	1.4959	A19.S3B	S	A
CLUG_01218	1.5548	A2.U10A	U	A
CLUG_01218	1.5708	A20.S1E	S	A
CLUG_01218	1.4521	A21.S8A	S	A
CLUG_01218	1.4679	A22.UpperP	U	A
CLUG_01218	1.5129	A23.LowerP	L	A
CLUG_01218	1.4844	A24.SputuP	S	A
CLUG_01218	1.5625	A3.U3G	U	A
CLUG_01218	1.3178	A4.U3B	U	A
CLUG_01218	1.6349	A5.U10D	U	A
CLUG_01218	1.3737	A6.U5C	U	A
CLUG_01218	1.6049	A7.U3E	U	A
CLUG_01218	1.5575	A8.U2E	U	A
CLUG_01218	1.6159	A9.L3D	L	A
CLUG_01218	1.5298	ATCC42720	UNK	ATCC42720
CLUG_01218	1.6574	B16.1310D	UNK	B
CLUG_01218	1.7191	B17.1311G	UNK	B
CLUG_01218	1.7130	B18.1312G	UNK	B
CLUG_01218	1.4304	B19.1310A	UNK	B
CLUG_01218	1.7678	B20.1311A	UNK	B
CLUG_01218	1.5933	B21.1312A	UNK	B
CLUG_01218	1.5071	B22.134E	UNK	B
CLUG_01218	1.6989	B23.133H	UNK	B
CLUG_01218	1.5166	B24.133F	UNK	B
CLUG_01218	1.5826	B25.135C	UNK	B
CLUG_01218	1.5461	B26.131A	UNK	B
CLUG_01218	1.4408	B27.136A	UNK	B
CLUG_01218	1.3748	B28.13UM	UNK	B
CLUG_01218	1.9182	C10.9M3	UNK	C
CLUG_01218	1.8869	C11.9M41	UNK	C
CLUG_01218	2.1022	C12.9U1	UNK	C
CLUG_01218	1.4907	C13.9U2	UNK	C
CLUG_01218	1.6219	C14.9U3	UNK	C
CLUG_01218	1.4400	C15.9U4s	UNK	C
CLUG_01218	1.7149	C4.9L1	UNK	C
CLUG_01218	1.8151	C5.9L2	UNK	C
CLUG_01218	1.7955	C6.9L3	UNK	C
CLUG_01218	1.8354	C7.9L4	UNK	C
CLUG_01218	1.9982	C8.9M1	UNK	C
CLUG_01218	1.6427	C9.9M2	UNK	C
CLUG_01218	1.4850	ctl1.AL1B	L	A
CLUG_01218	1.4727	ctl2.AL1B	L	A
CLUG_01218	1.5575	ctl3.C9L1	UNK	C
CLUG_01219	1.5751	A10.L4C	L	A
CLUG_01219	1.5609	A11.L11G	L	A
CLUG_01219	1.5762	A12.L10B	L	A
CLUG_01219	1.5564	A13.L3B	L	A
CLUG_01219	1.5679	A14.L4E	L	A
CLUG_01219	1.4261	A15.L4G	L	A
CLUG_01219	1.5337	A16.L7C	L	A
CLUG_01219	1.5719	A17.L1B	L	A
CLUG_01219	1.5680	A18.S4H	S	A
CLUG_01219	1.6026	A19.S3B	S	A
CLUG_01219	1.7010	A2.U10A	U	A
CLUG_01219	1.5962	A20.S1E	S	A
CLUG_01219	1.4507	A21.S8A	S	A
CLUG_01219	1.5335	A22.UpperP	U	A
CLUG_01219	1.5894	A23.LowerP	L	A
CLUG_01219	1.4938	A24.SputuP	S	A
CLUG_01219	1.6740	A3.U3G	U	A
CLUG_01219	1.4406	A4.U3B	U	A
CLUG_01219	1.6528	A5.U10D	U	A
CLUG_01219	1.4592	A6.U5C	U	A
CLUG_01219	1.6133	A7.U3E	U	A
CLUG_01219	1.6332	A8.U2E	U	A
